id	url	publishedAt	title	thumbnail
ptS7WMLOCOc	https://www.youtube.com/watch?v=ptS7WMLOCOc	2020-02-16T14:00:08Z	O DIA DO PANGOLIM - EDUARDO BUENO	https://i.ytimg.com/vi/ptS7WMLOCOc/mqdefault.jpg
EuJMhBEyug0	https://www.youtube.com/watch?v=EuJMhBEyug0	2020-02-12T13:55:59Z	O VOO DO PEQUENO PRÍNCIPE PELO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/EuJMhBEyug0/mqdefault.jpg
m5qLbOKF9uE	https://www.youtube.com/watch?v=m5qLbOKF9uE	2020-02-09T14:00:18Z	RIOS QUE PASSARAM EM NOSSAS VIDAS - EDUARDO BUENO	https://i.ytimg.com/vi/m5qLbOKF9uE/mqdefault.jpg
E5FeZOBctZw	https://www.youtube.com/watch?v=E5FeZOBctZw	2020-02-05T14:00:46Z	A HISTÓRIA DE JOÃO DE BARROS: O PAI DA GRAMÁTICA DA LÍNGUA PORTUGUESA - EDUARDO BUENO	https://i.ytimg.com/vi/E5FeZOBctZw/mqdefault.jpg
-aTBmEDujYo	https://www.youtube.com/watch?v=-aTBmEDujYo	2020-02-02T17:36:55Z	O BRASIL CRIACIONISTA - EDUARDO BUENO	https://i.ytimg.com/vi/-aTBmEDujYo/mqdefault.jpg
15ERwoOzPLk	https://www.youtube.com/watch?v=15ERwoOzPLk	2020-01-29T13:59:14Z	JUSCELINO KUBITSCHEK – O PRELÚDIO DO GOVERNO JK - EDUARDO BUENO	https://i.ytimg.com/vi/15ERwoOzPLk/mqdefault.jpg
6duM0EcqGsg	https://www.youtube.com/watch?v=6duM0EcqGsg	2020-01-26T14:00:00Z	TSUNAMI EM SÃO PAULO - EDUARDO BUENO	https://i.ytimg.com/vi/6duM0EcqGsg/mqdefault.jpg
Rekt7oazYNo	https://www.youtube.com/watch?v=Rekt7oazYNo	2020-01-22T13:50:22Z	O INACREDITÁVEL SENHOR RAPOSO TAVARES - EDUARDO BUENO	https://i.ytimg.com/vi/Rekt7oazYNo/mqdefault.jpg
JT45pyIF1is	https://www.youtube.com/watch?v=JT45pyIF1is	2020-01-19T14:00:02Z	AS VERTIGENS DO BRASIL NO OSCAR DA DEMOCRACIA - EDUARDO BUENO	https://i.ytimg.com/vi/JT45pyIF1is/mqdefault.jpg
P9d4rwMmoMA	https://www.youtube.com/watch?v=P9d4rwMmoMA	2020-01-15T14:07:38Z	JÁ ERA, VARGAS! AGORA É O GOVERNO DUTRA - EDUARDO BUENO	https://i.ytimg.com/vi/P9d4rwMmoMA/mqdefault.jpg
bBdUEqVj6X4	https://www.youtube.com/watch?v=bBdUEqVj6X4	2020-01-12T14:00:06Z	O "IMPRECIONANTE" RETORNO DO BRASIL: UMA HISTÓRIA - EDUARDO BUENO	https://i.ytimg.com/vi/bBdUEqVj6X4/mqdefault.jpg
14DpSqbKdx0	https://www.youtube.com/watch?v=14DpSqbKdx0	2020-01-08T14:00:46Z	FERNANDO DE NORONHA: O PRIMEIRO DONO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/14DpSqbKdx0/mqdefault.jpg
T4d6hWmjweM	https://www.youtube.com/watch?v=T4d6hWmjweM	2020-01-01T13:50:40Z	PRÍNCIPE DE ASTÚRIAS: O MAIOR NAUFRÁGIO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/T4d6hWmjweM/mqdefault.jpg
gAtFVQoFHCE	https://www.youtube.com/watch?v=gAtFVQoFHCE	2019-12-25T13:37:10Z	BISPO SARDINHA NA CEIA DOS ÍNDIOS CAETÉS - EDUARDO BUENO	https://i.ytimg.com/vi/gAtFVQoFHCE/mqdefault.jpg
nSvn9HyJ-Ew	https://www.youtube.com/watch?v=nSvn9HyJ-Ew	2020-01-05T14:00:10Z	AS LENDAS MACABRAS POR TRÁS DO NAUFRÁGIO DO TITANIC BRASILEIRO - EDUARDO BUENO	https://i.ytimg.com/vi/nSvn9HyJ-Ew/mqdefault.jpg
rajAgW4Q_r0	https://www.youtube.com/watch?v=rajAgW4Q_r0	2019-12-29T14:00:05Z	A ORIGEM DO ANO NOVO: POR QUE É COMEMORADO DIA 1º DE JANEIRO? - EDUARDO BUENO	https://i.ytimg.com/vi/rajAgW4Q_r0/mqdefault.jpg
3Lk1mxO1aaM	https://www.youtube.com/watch?v=3Lk1mxO1aaM	2019-12-22T14:00:00Z	A ORIGEM DO PAPAI NOEL E DO NATAL NO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/3Lk1mxO1aaM/mqdefault.jpg
uJe4v9rXL2g	https://www.youtube.com/watch?v=uJe4v9rXL2g	2019-12-18T13:59:15Z	GASPAR DA GAMA: UM JUDEU NO DESCOBRIMENTO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/uJe4v9rXL2g/mqdefault.jpg
byXyk87uNGM	https://www.youtube.com/watch?v=byXyk87uNGM	2019-12-15T14:00:05Z	O VERDADEIRO PADRE DO BALÃO: BARTOLOMEU GUSMÃO - EDUARDO BUENO	https://i.ytimg.com/vi/byXyk87uNGM/mqdefault.jpg
QRHq3PCI-UQ	https://www.youtube.com/watch?v=QRHq3PCI-UQ	2019-12-11T13:55:07Z	UM RASANTE PELA HISTÓRIA DE SANTOS DUMONT - EDUARDO BUENO	https://i.ytimg.com/vi/QRHq3PCI-UQ/mqdefault.jpg
dzMZfzdGBTY	https://www.youtube.com/watch?v=dzMZfzdGBTY	2019-12-08T14:00:07Z	OS AZARADOS SORTILÉGIOS DO PRESIDENTE DA FUNARTE - EDUARDO BUENO	https://i.ytimg.com/vi/dzMZfzdGBTY/mqdefault.jpg
OW0NEab-T1s	https://www.youtube.com/watch?v=OW0NEab-T1s	2019-12-04T13:59:59Z	A DUPLA TRAGÉDIA DE EUCLIDES DA CUNHA - EDUARDO BUENO	https://i.ytimg.com/vi/OW0NEab-T1s/mqdefault.jpg
-68JFjOrOdI	https://www.youtube.com/watch?v=-68JFjOrOdI	2019-12-01T14:00:00Z	O FANTASMA DO AI-5 - EDUARDO BUENO	https://i.ytimg.com/vi/-68JFjOrOdI/mqdefault.jpg
RODCkU5SzUY	https://www.youtube.com/watch?v=RODCkU5SzUY	2019-11-27T13:58:31Z	MARGARET MEE EM BUSCA DA FLOR DA LUA - EDUARDO BUENO	https://i.ytimg.com/vi/RODCkU5SzUY/mqdefault.jpg
XqcaZfxQ-4o	https://www.youtube.com/watch?v=XqcaZfxQ-4o	2019-11-24T14:00:10Z	O LEVANTE COMUNISTA QUE ASSOMBROU O BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/XqcaZfxQ-4o/mqdefault.jpg
Umm-fM-HTnI	https://www.youtube.com/watch?v=Umm-fM-HTnI	2019-11-20T13:55:38Z	NILO PEÇANHA, O PRIMEIRO PRESIDENTE NEGRO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/Umm-fM-HTnI/mqdefault.jpg
